share_code,company_name,industry_group,listing_date,market_cap,opening_time,minutes_per_day,blue_chip,yahoo_status,missing_dates,delisted_date,trading_halt_dates
1AD.AX,ADALTA LIMITED,pharmaceuticals_biotechnology_and_life_sciences,2016-08-22,20840264.0,10:00:00,360.0,zz_not_yet_tagged,,,,
1AG.AX,ALTERRA LIMITED,food_beverage_and_tobacco,2008-05-16,8333288.0,10:00:00,360.0,zz_not_yet_tagged,downloaded,,,
1ST.AX,1ST GROUP LIMITED,health_care_equipment_and_services,2015-06-09,8060415.0,10:00:00,360.0,zz_not_yet_tagged,,,,
1VG.AX,VICTORY GOLDFIELDS LIMITED,materials,2021-07-22,9406886.0,10:00:00,360.0,zz_not_yet_tagged,,,,
29M.AX,29METALS LIMITED,materials,2021-07-02,1282814850.0,10:00:00,360.0,zz_not_yet_tagged,,,,
2BE.AX,TUBI LIMITED,energy,2019-06-14,0.0,10:00:00,360.0,zz_not_yet_tagged,downloaded,,,
360.AX,LIFE360 INC.,software_and_services,2019-05-10,2021485911.0,10:00:00,360.0,zz_not_yet_tagged,,,,
3DA.AX,AMAERO INTERNATIONAL LTD,capital_goods,2019-12-06,76045592.0,10:00:00,360.0,zz_not_yet_tagged,downloaded,,,
3DP.AX,POINTERRA LIMITED,software_and_services,2008-03-27,260955389.0,10:00:00,360.0,zz_not_yet_tagged,,,,
3MF.AX,3D METALFORGE LIMITED,commercial_and_professional_services,2021-03-02,20437823.0,10:00:00,360.0,zz_not_yet_tagged,,,,
3PL.AX,3P LEARNING LIMITED..,consumer_services,2014-07-09,410578992.0,10:00:00,360.0,zz_not_yet_tagged,downloaded,,,
4DS.AX,4DS MEMORY LIMITED,semiconductors_and_semiconductor_equipment,2010-12-09,81968640.0,10:00:00,360.0,zz_not_yet_tagged,,,,
4DX.AX,4DMEDICAL LIMITED,health_care_equipment_and_services,2020-08-07,382839388.0,10:00:00,360.0,zz_not_yet_tagged,,,,
5EA.AX,5E ADVANCED MATERIALS INC.,class_pend,2000-01-01,0.0,10:00:00,360.0,zz_not_yet_tagged,,,,
5GG.AX,PENTANET LIMITED,telecommunication_services,2021-01-29,203410422.0,10:00:00,360.0,zz_not_yet_tagged,,,,
5GN.AX,5G NETWORKS LIMITED,telecommunication_services,2017-11-17,0.0,10:00:00,360.0,zz_not_yet_tagged,,,,
88E.AX,88 ENERGY LIMITED,energy,2000-01-20,403295933.0,10:00:00,360.0,zz_not_yet_tagged,,,,
8AU.AX,8 AU LIMITED,materials,2000-01-01,0.0,10:00:00,360.0,zz_not_yet_tagged,,,,
8CO.AX,8COMMON LIMITED,software_and_services,2014-08-27,47635348.0,10:00:00,360.0,zz_not_yet_tagged,,,,
8IH.AX,8I HOLDINGS LTD,diversified_financials,2014-12-17,94964337.0,10:00:00,360.0,zz_not_yet_tagged,,,,
8VI.AX,8VI HOLDINGS LIMITED,consumer_services,2015-12-16,203430826.0,10:00:00,360.0,zz_not_yet_tagged,downloaded,,,
92E.AX,92 ENERGY LIMITED,energy,2021-04-15,52898362.0,10:00:00,360.0,zz_not_yet_tagged,,,,
99L.AX,99 LOYALTY LIMITED.,software_and_services,2013-10-08,59143821.0,10:00:00,360.0,zz_not_yet_tagged,,,,
9SP.AX,9 SPOKES INTERNATIONAL LIMITED,software_and_services,2016-06-09,20906721.0,10:00:00,360.0,zz_not_yet_tagged,,,,
A1G.AX,AFRICAN GOLD LTD.,materials,2019-02-14,24634196.0,10:00:00,360.0,zz_not_yet_tagged,downloaded,,,
A1M.AX,AIC MINES LIMITED,materials,1993-11-04,128116732.0,10:00:00,360.0,zz_not_yet_tagged,,,,
A2B.AX,A2B AUSTRALIA LIMITED,transportation,1999-12-14,160172808.0,10:00:00,360.0,zz_not_yet_tagged,,,,
A2M.AX,THE A2 MILK COMPANY LIMITED,food_beverage_and_tobacco,2015-03-31,4580924212.0,10:00:00,360.0,zz_not_yet_tagged,,,,
