share_code,company_name,industry_group,listing_date,market_cap,opening_time,minutes_per_day,blue_chip,yahoo_status,missing_dates,delisted_date,trading_halt_dates
1AD.AX,ADALTA LIMITED,pharmaceuticals_biotechnology_and_life_sciences,2016-08-22,21820982.0,10:00:00,360.0,zz_not_yet_tagged,,,,
1AG.AX,ALTERRA LIMITED,food_beverage_and_tobacco,2008-05-16,8333288.0,10:00:00,360.0,zz_not_yet_tagged,downloaded,,,
1ST.AX,1ST GROUP LIMITED,health_care_equipment_and_services,2015-06-09,8060415.0,10:00:00,360.0,zz_not_yet_tagged,,,,
1VG.AX,VICTORY GOLDFIELDS LIMITED,materials,2021-07-22,9642058.0,10:00:00,360.0,zz_not_yet_tagged,,,,
29M.AX,29METALS LIMITED,materials,2021-07-02,1278010300.0,10:00:00,360.0,zz_not_yet_tagged,,,,
2BE.AX,TUBI LIMITED,energy,2019-06-14,0.0,10:00:00,360.0,zz_not_yet_tagged,downloaded,,,
360.AX,LIFE360 INC.,software_and_services,2019-05-10,1834735997.0,10:00:00,360.0,zz_not_yet_tagged,,,,
3DA.AX,AMAERO INTERNATIONAL LTD,capital_goods,2019-12-06,75031650.0,10:00:00,360.0,zz_not_yet_tagged,downloaded,,,
3DP.AX,POINTERRA LIMITED,software_and_services,2008-03-27,277900544.0,10:00:00,360.0,zz_not_yet_tagged,,,,
3MF.AX,3D METALFORGE LIMITED,commercial_and_professional_services,2021-03-02,22814314.0,10:00:00,360.0,zz_not_yet_tagged,,,,
3PL.AX,3P LEARNING LIMITED..,consumer_services,2014-07-09,387077838.0,10:00:00,360.0,zz_not_yet_tagged,downloaded,,,
4DS.AX,4DS MEMORY LIMITED,semiconductors_and_semiconductor_equipment,2010-12-09,83290715.0,10:00:00,360.0,zz_not_yet_tagged,,,,
4DX.AX,4DMEDICAL LIMITED,health_care_equipment_and_services,2020-08-07,416705949.0,10:00:00,360.0,zz_not_yet_tagged,,,,
5EA.AX,5E ADVANCED MATERIALS INC.,class_pend,2000-01-01,0.0,10:00:00,360.0,zz_not_yet_tagged,,,,
5GG.AX,PENTANET LIMITED,telecommunication_services,2021-01-29,207832388.0,10:00:00,360.0,zz_not_yet_tagged,,,,
5GN.AX,5G NETWORKS LIMITED,telecommunication_services,2017-11-17,112214844.0,10:00:00,360.0,zz_not_yet_tagged,,,,
88E.AX,88 ENERGY LIMITED,energy,2000-01-20,417611716.0,10:00:00,360.0,zz_not_yet_tagged,,,,
8AU.AX,8 AU LIMITED,materials,2000-01-01,0.0,10:00:00,360.0,zz_not_yet_tagged,,,,
8CO.AX,8COMMON LIMITED,software_and_services,2014-08-27,44311951.0,10:00:00,360.0,zz_not_yet_tagged,,,,
8IH.AX,8I HOLDINGS LTD,diversified_financials,2014-12-17,100339677.0,10:00:00,360.0,zz_not_yet_tagged,,,,
8VI.AX,8VI HOLDINGS LIMITED,consumer_services,2015-12-16,211907110.0,10:00:00,360.0,zz_not_yet_tagged,downloaded,,,
